age,education,employment,income,marital,children,housing,vehicle,health,region
33,vocational,employed,middle,married,1,rent,0,good,suburban
38,vocational,employed,middle,married,0,rent,0,good,suburban
46,high_school,employed,middle,married,2_plus,owned,1,good,suburban
85,vocational,employed,middle,married,2_plus,owned,1,fair,suburban
21,high_school,employed,low,single,1,rent,0,good,urban
23,bachelor,student,low,single,0,mortgage,0,good,suburban
32,postgraduate,employed,low,single,0,rent,1,fair,suburban
58,vocational,employed,middle,single,2_plus,mortgage,1,good,urban
68,vocational,retired,middle,married,2_plus,owned,1,poor,suburban
26,bachelor,employed,high,single,2_plus,owned,1,good,urban
29,postgraduate,employed,middle,married,1,mortgage,1,poor,rural
46,vocational,employed,middle,married,1,owned,1,fair,urban
29,postgraduate,employed,middle,married,1,mortgage,2_plus,fair,suburban
41,vocational,employed,middle,married,1,rent,1,good,urban
31,vocational,employed,middle,single,0,rent,2_plus,good,rural
29,vocational,employed,low,married,2_plus,rent,0,good,suburban
40,high_school,unemployed,low,married,1,rent,0,poor,rural
32,bachelor,employed,high,married,1,rent,1,fair,urban
54,bachelor,retired,middle,separated,2_plus,owned,1,fair,suburban
78,vocational,employed,low,married,1,rent,0,fair,suburban
57,vocational,employed,low,married,2_plus,owned,0,good,suburban
62,bachelor,unemployed,low,married,2_plus,owned,1,good,suburban
68,bachelor,retired,middle,married,2_plus,owned,0,fair,rural
57,postgraduate,employed,high,single,0,owned,2_plus,poor,rural
60,bachelor,employed,high,married,2_plus,owned,2_plus,fair,suburban
80,high_school,retired,middle,separated,1,owned,1,fair,rural
65,bachelor,retired,low,married,2_plus,mortgage,0,fair,urban
30,high_school,employed,low,single,0,rent,0,good,urban
32,high_school,retired,low,married,2_plus,rent,0,good,suburban
37,bachelor,employed,high,married,2_plus,owned,1,good,urban
18,high_school,employed,low,single,0,rent,0,good,urban
41,high_school,self_employed,low,married,2_plus,rent,1,good,suburban
49,vocational,employed,middle,married,2_plus,mortgage,0,poor,suburban
45,high_school,employed,middle,single,0,owned,0,good,urban
37,bachelor,employed,middle,married,1,owned,1,good,suburban
74,postgraduate,employed,middle,married,2_plus,owned,2_plus,fair,urban
48,bachelor,employed,middle,married,1,mortgage,2_plus,good,urban
81,bachelor,retired,middle,married,2_plus,owned,2_plus,poor,suburban
50,vocational,employed,middle,married,2_plus,mortgage,1,good,urban
44,vocational,self_employed,middle,single,0,mortgage,1,good,rural
30,high_school,employed,low,married,1,rent,1,good,urban
49,bachelor,employed,high,married,1,owned,1,fair,urban
40,bachelor,employed,middle,married,1,mortgage,1,good,urban
62,vocational,employed,high,married,2_plus,mortgage,2_plus,fair,rural
71,postgraduate,retired,middle,married,2_plus,owned,1,fair,urban
47,vocational,employed,middle,married,2_plus,mortgage,1,good,urban
68,bachelor,retired,low,single,0,mortgage,0,fair,rural
51,vocational,unemployed,middle,married,2_plus,owned,1,fair,rural
20,high_school,student,low,single,0,rent,0,good,suburban
34,bachelor,employed,middle,single,0,owned,2_plus,good,suburban
48,bachelor,student,low,separated,1,mortgage,0,good,urban
57,vocational,employed,low,single,0,owned,0,fair,rural
58,high_school,employed,middle,single,0,owned,0,fair,rural
58,bachelor,employed,middle,single,2_plus,mortgage,2_plus,fair,urban
58,high_school,employed,middle,single,2_plus,owned,1,good,rural
57,bachelor,retired,low,married,2_plus,rent,0,good,rural
58,high_school,employed,low,single,2_plus,mortgage,1,fair,urban
41,bachelor,unemployed,low,married,1,mortgage,0,good,urban
71,high_school,retired,middle,married,2_plus,owned,1,poor,suburban
60,postgraduate,employed,middle,married,2_plus,mortgage,1,good,suburban
27,postgraduate,employed,middle,married,2_plus,rent,2_plus,good,suburban
21,vocational,student,low,single,0,rent,0,good,suburban
22,high_school,unemployed,low,single,0,rent,1,good,suburban
64,vocational,employed,middle,single,0,owned,0,fair,suburban
64,bachelor,self_employed,high,married,2_plus,owned,2_plus,fair,suburban
84,postgraduate,retired,low,separated,0,rent,0,poor,urban
45,vocational,employed,high,married,2_plus,owned,1,fair,urban
47,postgraduate,employed,high,married,2_plus,owned,0,good,suburban
21,vocational,employed,middle,separated,0,rent,2_plus,fair,suburban
58,postgraduate,employed,middle,married,2_plus,mortgage,0,poor,urban
